condition,dx_code,dx_method
Anxiety,300.01,I9
Anxiety,300.00,I9
Anxiety,300.09,I9
Anxiety,293.84,I9
Anxiety,300.02,I9
Anxiety,03100110,HIC
Anxiety,03173116,HIC
Anxiety,03100210,HIC
Anxiety,03100113,HIC
Anxiety,F41.8,I10
Anxiety,F41.9,I10
Anxiety,F41.1,I10
Anxiety,F43.22,I10
Anxiety,F10.280,I10
Anxiety,F12.280,I10
Anxiety,F12.180,I10
Anxiety,F06.4,I10
Anxiety,F43.23,I10
Anxiety,F41.0,I10
"Arrhythmia, Cardiac",426.89,I9
"Arrhythmia, Cardiac",427.32,I9
"Arrhythmia, Cardiac",785.0,I9
"Arrhythmia, Cardiac",426.82,I9
"Arrhythmia, Cardiac",780.2,I9
"Arrhythmia, Cardiac",427.9,I9
"Arrhythmia, Cardiac",427.1,I9
"Arrhythmia, Cardiac",426.52,I9
"Arrhythmia, Cardiac",426.10,I9
"Arrhythmia, Cardiac",426.11,I9
"Arrhythmia, Cardiac",426.13,I9
"Arrhythmia, Cardiac",997.1,I9
"Arrhythmia, Cardiac",426.50,I9
"Arrhythmia, Cardiac",427.81,I9
"Arrhythmia, Cardiac",427.60,I9
"Arrhythmia, Cardiac",427.41,I9
"Arrhythmia, Cardiac",426.6,I9
"Arrhythmia, Cardiac",426.3,I9
"Arrhythmia, Cardiac",426.4,I9
"Arrhythmia, Cardiac",426.9,I9
"Arrhythmia, Cardiac",427.69,I9
"Arrhythmia, Cardiac",306.2,I9
"Arrhythmia, Cardiac",427.89,I9
"Arrhythmia, Cardiac",426.51,I9
"Arrhythmia, Cardiac",427.5,I9
"Arrhythmia, Cardiac",426.0,I9
"Arrhythmia, Cardiac",426.2,I9
"Arrhythmia, Cardiac",427.31,I9
"Arrhythmia, Cardiac",426.12,I9
"Arrhythmia, Cardiac",427.61,I9
"Arrhythmia, Cardiac",426.53,I9
"Arrhythmia, Cardiac",427.0,I9
"Arrhythmia, Cardiac",04163230,HIC
"Arrhythmia, Cardiac",04166121,HIC
"Arrhythmia, Cardiac",04163220,HIC
"Arrhythmia, Cardiac",04166111,HIC
"Arrhythmia, Cardiac",04169140,HIC
"Arrhythmia, Cardiac",04159111,HIC
